split,n_matches,n_shots,share_of_shots,n_goals,goal_rate,share_Serie A,share_Premier League,share_La Liga,share_Ligue 1
train,1067,26206,0.699069010590338,2499,0.09535984125772724,0.2634511180645654,0.2617721132565061,0.2422346027627261,0.2325421659162024
validation,226,5642,0.15050550857630646,534,0.09464728819567529,0.2635590216235377,0.26214108472172987,0.24122651542006382,0.23307337823466856
test,224,5639,0.15042548083335555,535,0.0948749778329491,0.2635219010462848,0.26210320978896967,0.24135485015073593,0.23302003901400958
