лига,модель,n,доля голов,dummy log loss,log loss,skill log loss,dummy Brier,Brier,BSS,ROC-AUC,ECE
La Liga,Логистическая + защитный контекст,1361,0.106539309331374,0.3399186595248842,0.2600030128226748,0.23510226480037966,0.0953136654049775,0.07708079155122095,0.19129338669630458,0.846035617059891,0.023247794023638947
La Liga,Логистическая без контекста,1361,0.106539309331374,0.3399186595248842,0.27817171116995626,0.18165212948660636,0.0953136654049775,0.08162431714736307,0.14362419281065175,0.8091197822141561,0.019296580780602257
La Liga,Случайный лес + защитный контекст,1361,0.106539309331374,0.3399186595248842,0.257251553837737,0.24319672771919554,0.0953136654049775,0.07594228694674272,0.2032382069866674,0.8467332123411978,0.02388002367486399
La Liga,statsbomb_xg,1361,0.106539309331374,0.3399186595248842,0.2543281161819644,0.25179713129768344,0.0953136654049775,0.07484213166497497,0.2147806786468781,0.8561025408348457,0.028548701983174128
Ligue 1,Логистическая + защитный контекст,1314,0.0974124809741248,0.31938439357513365,0.2562968801851031,0.19752847872070345,0.08792750285439592,0.07232040009618854,0.17749967020048396,0.8032646500843171,0.011238479330913946
Ligue 1,Логистическая без контекста,1314,0.0974124809741248,0.31938439357513365,0.25960350263573984,0.18717536655506817,0.08792750285439592,0.07306504111319644,0.1690308635946487,0.7908871732715008,0.019484812200983553
Ligue 1,Случайный лес + защитный контекст,1314,0.0974124809741248,0.31938439357513365,0.2532624242872077,0.20702943104942628,0.08792750285439592,0.07217331796251734,0.17917243615989886,0.8166236298482294,0.019126644861087234
Ligue 1,statsbomb_xg,1314,0.0974124809741248,0.31938439357513365,0.25465418961590175,0.2026717812810238,0.08792750285439592,0.07174079808796925,0.18409148720203206,0.8080931176222598,0.01850585202085235
Premier League,Логистическая + защитный контекст,1478,0.09201623815967523,0.3072434963495025,0.24210948984236297,0.21199474449752653,0.08356042975629446,0.06779116535868464,0.18871688960433997,0.8107686069957044,0.01080470417293305
Premier League,Логистическая без контекста,1478,0.09201623815967523,0.3072434963495025,0.2524739152880107,0.17826115674451593,0.08356042975629446,0.07028348782987237,0.15889030208610155,0.7844086964144823,0.005654857549132102
Premier League,Случайный лес + защитный контекст,1478,0.09201623815967523,0.3072434963495025,0.24623926619132774,0.1985533652721484,0.08356042975629446,0.06896356132784508,0.17468637333509918,0.804659419654598,0.010058597898510194
Premier League,statsbomb_xg,1478,0.09201623815967523,0.3072434963495025,0.2372503821459441,0.22780991309882193,0.08356042975629446,0.06615053186830393,0.20835098549357423,0.81904203559218,0.015158803407577807
Serie A,Логистическая + защитный контекст,1486,0.0847913862718708,0.2909884486697795,0.2154697099735556,0.25952486788203866,0.07771349932675327,0.060700823677815756,0.218915320971537,0.8536531279178338,0.019261247707635418
Serie A,Логистическая без контекста,1486,0.0847913862718708,0.2909884486697795,0.23056371974828027,0.20765335942964058,0.07771349932675327,0.06431029017621617,0.17246951001629873,0.8168475723622782,0.01733211035629223
Serie A,Случайный лес + защитный контекст,1486,0.0847913862718708,0.2909884486697795,0.2186110485626387,0.2487294613858586,0.07771349932675327,0.06156449626437682,0.20780177449578663,0.8446195144724555,0.01435595048835656
Serie A,statsbomb_xg,1486,0.0847913862718708,0.2909884486697795,0.21825430740331275,0.24995542468768983,0.07771349932675327,0.06118556042341435,0.2126778364958929,0.8469829598506069,0.02230587588021534
