модель,L3 без защитного контекста,L4 без n_opponents_visible,L4 полный,brier_L3,brier_L4_без_visible,brier_L4,roc_auc_L3,roc_auc_L4_без_visible,roc_auc_L4,вклад n_opponents_visible
Логистическая регрессия,0.2545637233032979,0.24314992623542556,0.24271395921663452,0.07209474124396344,0.06941227892872512,0.06922020383276707,0.8021928925087158,0.8299457270090529,0.8300398441391029,0.0004359670187910336
Случайный лес,0.2539983128193986,0.24365985637545784,0.24325303136751456,0.0722277131683198,0.06967875403576895,0.06944603252858372,0.8049391351478042,0.829542524829344,0.8296384730319631,0.00040682500794328447
