уровень,набор признаков,описание,модель,n_признаков,validation_log_loss,validation_brier,validation_roc_auc,test_log_loss,test_brier,test_roc_auc,test_pr_auc,Δ_log_loss_от_L1,Δ_log_loss_шаг
L1,geometry,геометрия удара,Логистическая регрессия,2,0.273205316918732,0.07692941613921835,0.7537680483577205,0.2728239597043918,0.07699893890944072,0.7597041352942899,0.29824266792114684,0.0,
L2,geometry_shot,+ характеристики удара,Логистическая регрессия,7,0.25774810128521125,0.07288596130049277,0.7923998926557152,0.25629566633154466,0.07267948986502556,0.800679511030381,0.3680628886036855,-0.01652829337284717,-0.01652829337284717
L3,geometry_shot_flags,+ флаги StatsBomb,Логистическая регрессия,10,0.2551519152146227,0.07188484798530889,0.7950268580679789,0.2545637233032979,0.07209474124396344,0.8021928925087158,0.3796945171152446,-0.01826023640109392,-0.0017319430282467518
L4,geometry_shot_flags_defensive,+ свой защитный контекст,Логистическая регрессия,24,0.25033238117648154,0.07066910202780091,0.8055733973879559,0.24271395921663452,0.06922020383276707,0.8300398441391029,0.42474741792810394,-0.030110000487757305,-0.011849764086663384
L1,geometry,геометрия удара,Случайный лес,2,0.2751170227114307,0.07728192778193407,0.7449913332688094,0.27205596986455405,0.07735568228750735,0.75977280051563,0.2832653407609096,0.0,
L2,geometry_shot,+ характеристики удара,Случайный лес,7,0.26202844398302194,0.07392783189585311,0.7850003592807346,0.2578257491998222,0.07355591915389043,0.8017354905809627,0.3573234327870111,-0.01423022066473184,-0.01423022066473184
L3,geometry_shot_flags,+ флаги StatsBomb,Случайный лес,10,0.2567616901961699,0.07208672314452372,0.7918037799266188,0.2539983128193986,0.0722277131683198,0.8049391351478042,0.37516916197214767,-0.01805765704515544,-0.003827436380423599
L4,geometry_shot_flags_defensive,+ свой защитный контекст,Случайный лес,24,0.2519688757630468,0.07067539319850374,0.8007355723122135,0.24325303136751456,0.06944603252858372,0.8296384730319631,0.42195194309275985,-0.028802938497039493,-0.010745281451884053
