competition_id,season_id,country_name,competition_name,season_name,gender,youth,international,n_matches,n_matches_with_events,n_matches_with_360,share_matches_with_360,events_mb,three_sixty_mb,match_date_min,match_date_max,declared_360_available
11,27,Spain,La Liga,2015/2016,male,False,False,380,380,0,0.0,1121.6,0.0,2015-08-21,2016-05-15,False
11,2,Spain,La Liga,2016/2017,male,False,False,34,34,0,0.0,107.4,0.0,2016-08-20,2017-05-21,False
11,1,Spain,La Liga,2017/2018,male,False,False,36,36,0,0.0,117.3,0.0,2017-08-20,2018-05-20,False
11,4,Spain,La Liga,2018/2019,male,False,False,34,34,0,0.0,113.2,0.0,2018-08-18,2019-05-19,False
11,42,Spain,La Liga,2019/2020,male,False,False,33,33,0,0.0,110.7,0.0,2019-09-21,2020-07-19,False
11,90,Spain,La Liga,2020/2021,male,False,False,35,35,35,1.0,119.3,321.6,2020-09-27,2021-05-16,True
182,281,Spain,Liga F,2023/2024,female,False,False,240,240,0,0.0,733.0,0.0,2023-09-15,2024-06-16,False
81,275,Argentina,Liga Profesional,1981,male,False,False,1,1,0,0.0,2.7,0.0,1981-04-10,1981-04-10,False
81,48,Argentina,Liga Profesional,1997/1998,male,False,False,1,1,0,0.0,3.1,0.0,1997-10-25,1997-10-25,False
7,27,France,Ligue 1,2015/2016,male,False,False,377,377,0,0.0,1161.5,0.0,2015-08-07,2016-05-14,False
7,108,France,Ligue 1,2021/2022,male,False,False,26,26,26,1.0,88.0,217.4,2021-08-29,2022-05-21,True
7,235,France,Ligue 1,2022/2023,male,False,False,32,32,32,1.0,112.0,286.8,2022-08-06,2023-06-03,True
44,107,United States of America,Major League Soccer,2023,male,False,False,6,6,6,1.0,18.8,41.2,2023-08-27,2023-10-22,True
49,3,United States of America,NWSL,2018,female,False,False,36,36,0,0.0,99.0,0.0,2018-04-15,2018-08-12,False
49,107,United States of America,NWSL,2023,female,False,False,137,137,0,0.0,402.1,0.0,2023-03-25,2023-11-12,False
116,68,North and Central America,North American League,1977,male,False,False,1,1,0,0.0,2.8,0.0,1977-08-28,1977-08-28,False
2,44,England,Premier League,2003/2004,male,False,False,38,38,0,0.0,110.0,0.0,2003-08-16,2004-05-15,False
2,27,England,Premier League,2015/2016,male,False,False,380,380,0,0.0,1129.3,0.0,2015-08-08,2016-05-17,False
12,86,Italy,Serie A,1986/1987,male,False,False,1,1,0,0.0,2.6,0.0,1986-11-09,1986-11-09,False
12,27,Italy,Serie A,2015/2016,male,False,False,380,380,0,0.0,1156.3,0.0,2015-08-22,2016-05-15,False
131,281,Italy,Serie A Women,2023/2024,female,False,False,130,130,0,0.0,374.9,0.0,2023-09-16,2024-05-19,False
55,43,Europe,UEFA Euro,2020,male,False,True,51,51,51,1.0,163.3,377.6,2021-06-11,2021-07-11,True
55,282,Europe,UEFA Euro,2024,male,False,True,51,51,51,1.0,160.1,399.2,2024-06-14,2024-07-14,True
35,75,Europe,UEFA Europa League,1988/1989,male,False,False,3,3,0,0.0,8.7,0.0,1989-03-15,1989-05-03,False
53,106,Europe,UEFA Women's Euro,2022,female,False,True,31,31,31,1.0,91.7,197.0,2022-07-06,2022-07-31,True
53,315,Europe,UEFA Women's Euro,2025,female,False,True,31,31,31,1.0,92.0,199.5,2025-07-02,2025-07-27,True
72,30,International,Women's World Cup,2019,female,False,True,52,52,0,0.0,153.2,0.0,2019-06-07,2019-07-07,False
72,107,International,Women's World Cup,2023,female,False,True,64,64,64,1.0,197.5,422.8,2023-07-20,2023-08-20,True
