сравнение,n_matches,n_shots,n_bootstrap,confidence_level,delta_log_loss,delta_log_loss_ci_low,delta_log_loss_ci_high,delta_log_loss_significant,delta_brier,delta_brier_ci_low,delta_brier_ci_high,delta_brier_significant
Логистическая: + характеристики удара (L1 → L2),224,5639,1000,0.95,-0.01652829337284717,-0.020849012599977786,-0.011859909824957429,True,-0.004319449044415155,-0.005568344269461482,-0.002952306263943411,True
Логистическая: + флаги StatsBomb (L2 → L3),224,5639,1000,0.95,-0.0017319430282467518,-0.003502482057169516,0.00020775600749259283,False,-0.0005847486210621283,-0.0011843114850615013,2.8766320069269495e-05,False
Логистическая: + защитный контекст (L3 → L4),224,5639,1000,0.95,-0.011849764086663384,-0.016034306191738457,-0.007841630897871136,True,-0.002874537411196365,-0.004097241574421155,-0.0016581340657779995,True
Случайный лес: + защитный контекст (L3 → L4),224,5639,1000,0.95,-0.010745281451884053,-0.015324459372358743,-0.006286434485499221,True,-0.0027816806397360783,-0.0042056726270939745,-0.0015990113140984799,True
Логистическая: + защитный контекст БЕЗ n_opponents_visible (L3 → L4−),224,5639,1000,0.95,-0.01141379706787235,-0.015530116562749312,-0.0073596237457710465,True,-0.002682462315238318,-0.0038757302641292627,-0.001465618715756087,True
Случайный лес: + защитный контекст БЕЗ n_opponents_visible,224,5639,1000,0.95,-0.010338456443940769,-0.014890289616911965,-0.00619716281891895,True,-0.0025489591325508487,-0.003932012687574614,-0.0013662262479477974,True
Вклад самого n_opponents_visible (L4− → L4),224,5639,1000,0.95,-0.0004359670187910336,-0.0009081939588676154,2.2319590504220826e-05,False,-0.00019207509595804695,-0.0003424572289913278,-3.927247601181818e-05,True
Логистическая с защитным контекстом против statsbomb_xg,224,5639,1000,0.95,0.0022922289644663474,-0.0008864507256309206,0.005216442935473444,False,0.0009776468591601445,4.435603058069171e-05,0.0018822721825412214,True
