bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.010482180293501049,0.023702031602708805,828,0.010482180293501049,0.010869565217391304,9,0.00038738492389025526
1,0.023702031602708805,0.04064039408866995,769,0.02416814908381909,0.01950585175552666,15,-0.004662297328292431
2,0.04064039408866995,0.047872340425531915,180,0.04064039408866994,0.044444444444444446,8,0.0038040503557745034
3,0.047872340425531915,0.05186813186813187,789,0.04787234042553191,0.035487959442332066,28,-0.012384380983199841
4,0.05186813186813187,0.05937176389368312,528,0.051868131868131884,0.06628787878787878,35,0.0144197469197469
5,0.05937176389368312,0.12130637636080871,701,0.059803677179515354,0.07132667617689016,50,0.011522998997374807
6,0.12130637636080871,0.17571059431524547,597,0.13700632439109825,0.1407035175879397,84,0.0036971931968414473
7,0.17571059431524547,0.9066666666666666,1247,0.24098874201960818,0.2453889334402566,306,0.0044001914206484305
